Player,MPG,PPG,RPG,APG,PER,STL_PG,BLK_PG,WS/48
Langston Galloway,20.4,8.6,2.2,1.2,11.2,0.7,0.1,0.052
Kosta Koufos,20,6.6,5.7,0.7,13.8,0.5,0.7,0.089
Caris Levert,21.7,8.2,3.3,1.9,12.2,0.9,0.1,0.07
Tim Frazier,23.5,7.1,2.7,5.2,12.4,0.9,0.1,0.075
Anthony Tolliver,22.7,7.1,3.7,1.2,11.1,0.5,0.3,0.075
Mirza Teletovic,16.2,6.4,2.3,0.7,8.8,0.2,0.2,0.025
Larry Nance,22.9,7.1,5.9,1.5,15.8,1.3,0.6,0.118
Richard Jefferson,20.4,5.7,2.6,1,8.2,0.3,0.1,0.063
Doug Mcdermott,24.5,10.2,3,1,11.3,0.3,0.1,0.084
Timothe Luwawu-Cabarrot,17.2,6.4,2.2,1.1,8.5,0.5,0.1,0.034
Patrick Patterson,24.6,6.8,4.5,1.2,10.8,0.6,0.4,0.1
Tyler Ulis,18.4,7.3,1.6,3.7,13,0.8,0.1,0.029
Thabo Sefolosha,25.7,7.2,4.4,1.7,11.9,1.5,0.5,0.098
Justin Hamilton,18.4,6.9,4.1,0.9,13.6,0.5,0.7,0.084
Trey Lyles,16.3,6.2,3.3,1,10,0.4,0.3,0.032
Bobby Portis,15.6,6.8,4.6,0.5,14.9,0.3,0.2,0.114
Devin Harris,16.7,6.7,2,2.1,13.8,0.7,0.1,0.096
Dante Cunningham,25,6.6,4.2,0.5,10.2,0.6,0.4,0.088
Mike Muscala,17.7,6.2,3.4,1.4,14.4,0.4,0.6,0.132
Jared Dudley,21.3,6.8,3.5,1.9,10.6,0.7,0.3,0.065
Spencer Dinwiddie,22.6,7.3,2.8,3.1,12.7,0.7,0.4,0.101
Shelvin Mack,21.9,7.8,2.3,2.8,10.9,0.8,0.1,0.054
James Ennis,23.5,6.7,4,1,10.6,0.7,0.3,0.101
Joe Harris,21.9,8.2,2.8,1,9,0.6,0.2,0.032
Khris Middleton,30.7,14.7,4.2,3.4,15,1.4,0.2,0.085
Zaza Pachulia,18.1,6.1,5.9,1.9,16.1,0.8,0.5,0.177
Andrew Harrison,20.5,5.9,1.9,2.8,8.7,0.8,0.3,0.051
Mindaugas Kuzminskas,14.9,6.3,1.9,1,12.4,0.4,0.2,0.055
Luol Deng,26.5,7.6,5.3,1.3,10.1,0.9,0.4,0.029
Jerami Grant,19.1,5.4,2.6,0.6,10.3,0.4,1,0.098
Jason Smith,14.4,5.7,3.5,0.5,13.6,0.3,0.7,0.103
Glenn Robinson,20.7,6.1,3.6,0.7,11.5,0.6,0.3,0.085
Leandro Barbosa,14.4,6.3,1.6,1.2,11.5,0.5,0.1,0.031
Demarcus Cousins,33.8,24.4,12.5,3.9,23.3,1.5,1.1,0.137
Matt Barnes,25.3,7.6,5.5,2.8,10.2,0.7,0.3,0.034
Dante Exum,18.6,6.2,2,1.7,8.6,0.3,0.2,0.047
Terry Rozier,17.1,5.5,3.1,1.8,10.8,0.6,0.1,0.053
Yogi Ferrell,29.1,11.3,2.8,4.3,14.1,1.1,0.2,0.09
Alex Abrines,15.5,6,1.3,0.6,10.1,0.5,0.1,0.095
Nemanja Bjelica,18.3,6.2,3.8,1.2,11,0.6,0.3,0.059
Timofey Mozgov,20.4,7.4,4.9,0.8,12.3,0.3,0.6,0.048
Meyers Leonard,16.5,5.4,3.2,1,8.9,0.2,0.4,0.053
P.J. Tucker,28.5,7,6,1.3,10.6,1.5,0.2,0.07
Tyson Chandler,27.6,8.4,11.5,0.6,16.6,0.7,0.5,0.149
John Henson,19.4,6.8,5.1,1,15.3,0.5,1.3,0.115
Malcolm Delaney,17.1,5.4,1.7,2.6,7.5,0.5,0,0.005
Shaun Livingston,17.7,5.1,2,1.8,10.1,0.5,0.3,0.094
Dewayne Dedmon,17.5,5.1,6.5,0.6,16,0.5,0.8,0.188
Tarik Black,16.3,5.7,5.1,0.6,15,0.4,0.7,0.105
J.J. Barea,22,10.9,2.4,5.5,17.2,0.4,0,0.08
Buddy Hield,29.1,15.1,4.1,1.8,14.9,0.8,0.1,0.053
Willie Reed,14.5,5.3,4.7,0.4,17.1,0.3,0.7,0.168
Kyle Korver,24.5,10.7,2.8,1,13.5,0.3,0.2,0.114
Jerian Grant,16.3,5.9,1.8,1.9,13.1,0.7,0.1,0.118
Aron Baynes,15.5,4.9,4.4,0.4,13.1,0.2,0.5,0.123
Jusuf Nurkic,17.9,8,5.8,1.3,15,0.6,0.8,0.034
Randy Foye,18.6,5.2,2.2,2,7.3,0.5,0.1,0.006
J.R. Smith,29,8.6,2.8,1.5,8.1,1,0.3,0.034
Dorian Finney-Smith,20.3,4.3,2.7,0.8,7.7,0.6,0.3,0.041
Alan Williams,15.1,7.4,6.2,0.5,19.5,0.6,0.7,0.142
Lou Williams,25.7,14.9,3,2.4,15.4,0.7,0.4,0.096
Stanley Johnson,17.8,4.4,2.5,1.4,7.2,0.7,0.3,0.012
Boris Diaw,17.6,4.6,2.2,2.3,9,0.2,0.1,0.041
Taurean Waller-Prince,16.6,5.7,2.7,0.9,9.8,0.7,0.5,0.054
Bojan Bogdanovic,23.1,12.7,3.1,0.8,14.7,0.4,0.2,0.102
Justin Anderson,13.9,6.5,2.9,0.6,14.7,0.5,0.3,0.067
Serge Ibaka,31,14.2,6.8,0.7,13.8,0.3,1.4,0.085
Noah Vonleh,17.1,4.4,5.2,0.4,10.8,0.4,0.4,0.069
Jodie Meeks,20.5,9.1,2.1,1.3,13.1,0.9,0.1,0.073
Luke Babbitt,15.7,4.8,2.1,0.5,8.4,0.3,0.2,0.082
Aaron Brooks,13.8,5,1.1,1.9,9.5,0.4,0.1,0.016
Mario Hezonja,14.8,4.9,2.2,1,7.2,0.5,0.2,-0.034
Cristiano Felicio,15.8,4.8,4.7,0.6,15.2,0.4,0.2,0.157
David West,12.6,4.6,3,2.2,16.6,0.6,0.7,0.148
Ramon Sessions,16.2,6.2,1.5,2.6,12.3,0.5,0.1,0.054
Jason Terry,18.4,4.1,1.4,1.3,9,0.6,0.3,0.075
Juan Hernangomez,13.6,4.9,3,0.5,13.3,0.5,0.2,0.103
Kyle Korver,27.9,9.5,2.8,2.3,10.9,0.7,0.4,0.088
Jusuf Nurkic,29.2,15.2,10.3,3.1,21.1,1.3,1.9,0.116
Davis Bertans,12.1,4.5,1.5,0.7,12.9,0.3,0.4,0.135
Jonas Jerebko,15.8,3.8,3.5,0.9,9.3,0.3,0.2,0.081
Terrence Ross,31.2,12.5,2.8,1.8,11.1,1.4,0.5,0.037
Michael Carter-Williams,18.8,6.6,3.4,2.5,9.9,0.8,0.5,0.013
Kris Dunn,17.1,3.8,2.1,2.4,8.1,1,0.5,0.004
Brandon Bass,11.1,5.6,2.5,0.4,19.7,0.3,0.2,0.186
Denzel Valentine,17.1,5.1,2.6,1.1,7.3,0.5,0.1,0.031
Skal Labissiere,18.5,8.8,4.9,0.8,16.8,0.5,0.4,0.099
Joffrey Lauvergne,14.8,5.7,3.7,1,12.9,0.4,0.1,0.091
Trey Burke,12.3,5,0.8,1.8,10.8,0.2,0.1,0.036
Ivica Zubac,16,7.5,4.2,0.8,17,0.4,0.9,0.086
